Field,Value
last_seen,2025-12-15
timestamp,2025-12-15T23:32:39.117845
categories,"LAMP | ssh | fatt | SQL Injection | Telnet | Exploited Host | honeytrap | IoT Targeted | Fraud Orders | sentrypeer | ipphoney | probing | webscanner, bruteforce, web app attack | dionaea | cowrie | Open Proxy | webscan | scanner | badrequest | Web App Attack | sftp | webscanner | greynoise_benign | suricata | Fraud VoIP | Blog Spam | p0f | FTP Brute-Force | Hacking | Bad Web Bot | tanner | DNS Compromise | SSH | Adbhoney | Port Scan | tpot | DDoS Attack | Web Spam | dropper | Ping of Death | Email Spam | scan | bruteforce | Spoofing | Brute-Force | mailoney | suspicious | adb | honeypot | sensor-tagged | sip | botnet | cisco | scanning | android | heralding | conpot | login | email | sipvicious | Redishoneypot | malicious | Phishing | DNS Poisoning | attack"
first_seen,N/A
ip_address,93.174.95.106
risk_score,62
usage_type,Data Center/Web Hosting/Transit
country_code,NL
is_malicious,True
mitre_attack,"{'id': 'T1021.004', 'name': 'SSH', 'tactic': 'Lateral Movement'} | {'id': 'T1190', 'name': 'Exploit Public-Facing Application', 'tactic': 'Initial Access'} | {'id': 'T1564.014', 'name': 'Extended Attributes', 'tactic': 'Defense Evasion'} | {'id': 'T1021', 'name': 'Remote Services', 'tactic': 'Lateral Movement'} | {'id': 'T1563', 'name': 'Remote Service Session Hijacking', 'tactic': 'Lateral Movement'} | {'id': 'T1557', 'name': 'Adversary-in-the-Middle', 'tactic': 'Credential Access'} | {'id': 'T1592', 'name': 'Gather Victim Host Information', 'tactic': 'Reconnaissance'} | {'id': 'T1564.012', 'name': 'File/Path Exclusions', 'tactic': 'Defense Evasion'} | {'id': 'T1133', 'name': 'External Remote Services', 'tactic': 'Persistence'} | {'id': 'T1110', 'name': 'Brute Force', 'tactic': 'Credential Access'} | {'id': 'T1201', 'name': 'Password Policy Discovery', 'tactic': 'Discovery'} | {'id': 'T1593.002', 'name': 'Search Engines', 'tactic': 'Reconnaissance'} | {'id': 'T1657', 'name': 'Financial Theft', 'tactic': 'Impact'} | {'id': 'T1498.001', 'name': 'Direct Network Flood', 'tactic': 'Impact'} | {'id': 'T1499.001', 'name': 'OS Exhaustion Flood', 'tactic': 'Impact'} | {'id': 'T1587.001', 'name': 'Malware', 'tactic': 'Resource Development'} | {'id': 'T1608.001', 'name': 'Upload Malware', 'tactic': 'Resource Development'} | {'id': 'T1557.003', 'name': 'DHCP Spoofing', 'tactic': 'Credential Access'} | {'id': 'T1578.003', 'name': 'Delete Cloud Instance', 'tactic': 'Defense Evasion'} | {'id': 'T1027.017', 'name': 'SVG Smuggling', 'tactic': 'Defense Evasion'} | {'id': 'T1553.003', 'name': 'SIP and Trust Provider Hijacking', 'tactic': 'Defense Evasion'} | {'id': 'T1583', 'name': 'Acquire Infrastructure', 'tactic': 'Resource Development'} | {'id': 'T1583.005', 'name': 'Botnet', 'tactic': 'Resource Development'} | {'id': 'T1568.002', 'name': 'Domain Generation Algorithms', 'tactic': 'Command And Control'} | {'id': 'T1600', 'name': 'Weaken Encryption', 'tactic': 'Defense Evasion'} | {'id': 'T1110.001', 'name': 'Password Guessing', 'tactic': 'Credential Access'} | {'id': 'T1003', 'name': 'OS Credential Dumping', 'tactic': 'Credential Access'} | {'id': 'T1037', 'name': 'Boot or Logon Initialization Scripts', 'tactic': 'Persistence'} | {'id': 'T1055.011', 'name': 'Extra Window Memory Injection', 'tactic': 'Defense Evasion'} | {'id': 'T1204.002', 'name': 'Malicious File', 'tactic': 'Execution'} | {'id': 'T1053.005', 'name': 'Scheduled Task', 'tactic': 'Execution'} | {'id': 'T1113', 'name': 'Screen Capture', 'tactic': 'Collection'} | {'id': 'T1129', 'name': 'Shared Modules', 'tactic': 'Execution'}"
threat_actor,N/A
threat_types,"LAMP | ssh | honeytrap | sentrypeer | Telnet | webscanner, bruteforce, web app attack | ipphoney | probing | dionaea | cowrie | scanner | webscan | badrequest | sftp | phishing | webscanner | abuse | suricata | p0f | tanner | SSH | Adbhoney | tpot | dropper | malware | scan | bruteforce | mailoney | suspicious | adb | honeypot | sensor-tagged | sip | botnet | cisco | scanning | android | heralding | conpot | login | email | sipvicious | Redishoneypot | malicious | fatt | attack"
last_reported,2025-12-15T23:16:50+00:00
total_reports,8384
recommendation,action: MONITOR | priority: MEDIUM | justification: Risk score: 62/100 | Confidence: 83% (VERY HIGH) | 8384 report(s) from threat intelligence sources | Flagged as malicious by one or more sources | High confidence assessment from multiple agreeing sources | confidence_note: High confidence assessment from multiple agreeing sources | confidence_level: VERY HIGH
community_votes,harmless: 1 | malicious: 19
confidence_score,83
malware_families,
kill_chain_stages,1. Reconnaissance | 3. Delivery | 4. Exploitation | 5. Installation | 6. Command & Control | 7. Actions on Objectives
num_distinct_reporters,433
